text,lang,post_id,source,tokenized_text,topic
//@易天:有被洗脑成功的人说这是信仰自由。所有儿童加入少先队才是进步，宣誓为共产主义奋斗终身，是信仰自由么？！我有时候，看见那些基督徒孩子，穆斯林孩子戴着鲜血染成的红领巾，觉得无比荒唐！,zh,,,/ / @ 易天 : 有 被 洗脑 成功 的 人 说 这 是 信仰自由 。 所有 儿童 加入 少先队 才 是 进步 ， 宣誓 为 共产主义 奋斗 终身 ， 是 信仰自由 么 ？ ！ 我 有时候 ， 看见 那些 基督徒 孩子 ， 穆斯林 孩子 戴着 鲜血 染成 的 红领巾 ， 觉得 无比 荒唐 ！,47
耶稣打得过年兽吗,zh,,,耶稣 打 得 过年 兽 吗,2
值得欣慰的是，他至少让你注意他是一个基督徒,zh,,,值得 欣慰 的 是 ， 他 至少 让 你 注意 他 是 一个 基督徒,-1
乡下的小型白人教堂反而会帮助，就和游戏似的，那些小教堂的神父是好人，然而大教堂的都是坏人，盛产boss的地方,zh,,,乡下 的 小型 白人 教堂 反而 会 帮助 ， 就 和 游戏 似的 ， 那些 小 教堂 的 神父 是 好人 ， 然而 大 教堂 的 都 是 坏人 ， 盛产 boss 的 地方,19
朋友加的伤痕出于忠诚，仇敌连连亲嘴却是多余。圣经,zh,,,朋友 加 的 伤痕 出于 忠诚 ， 仇敌 连连 亲嘴 却是 多余 。 圣经,24
美国基督徒都破大防了大殖子还搁这赢呢,zh,,,美国 基督徒 都 破大防 了 大殖子 还 搁 这 赢 呢,-1
明显tz教，排除新教和东正教。他一个意大利裔美国人，根正苗红的天主教家庭。咋看也不可能是东正教，新教更不可能了，因为新教压根就没有神父,zh,,,明显 tz 教 ， 排除 新教 和 东正教 。 他 一个 意大利 裔 美国 人 ， 根正苗红 的 天主教 家庭 。 咋 看 也 不 可能 是 东正教 ， 新教 更 不 可能 了 ， 因为 新教 压根 就 没有 神父,6
OMG，耶稣？ //@8090情感专线:请用心仔细看看，如果你看见了上帝，请转发。。。,zh,,,omg ， 耶稣 ？   / / @ 8090 情感 专线 : 请 用心 仔细 看看 ， 如果 你 看见 了 上帝 ， 请 转发 。 。 。,-1
国内大多数基督徒都是新教,zh,,,国内 大多数 基督徒 都 是 新教,6
"不是耶稣，圣城是天父建造的。
圣城建造历史只有几百年，所以天父跟耶稣没任何关系。是一个纯虚构的人",zh,,,"不是 耶稣 ， 圣城 是 天父 建造 的 。 
 圣城 建造 历史 只有 几百年 ， 所以 天父 跟 耶稣 没 任何 关系 。 是 一个 纯 虚构 的 人",-1
//@如鹰展翼而上:回复@陈老坎:找到了，中新网采访了叶开，叶开（应该就是@老虎不吃��）说的。http://t.cn/zjiVDYr //@如鹰展翼而上:诺贝尔文学奖得主@莫言 同志他妈妈是基督徒这件事的文献参考资料出自哪里啊？,zh,,,/ / @ 如鹰 展翼 而 上 : 回复 @ 陈老坎 : 找到 了 ， 中新网 采访 了 叶开 ， 叶开 （ 应该 就是 @ 老虎 不吃 � � ） 说 的 。 http : / / t . cn / zjivdyr   / / @ 如鹰 展翼 而 上 : 诺贝尔文学奖 得主 @ 莫言   同志 他 妈妈 是 基督徒 这件 事 的 文献 参考资料 出自 哪里 啊 ？,-1
因为一个是神棍，一个是老师！,zh,,,因为 一个 是 神棍 ， 一个 是 老师 ！,34
新教就是反罗马教廷而生的，讲究一个因信称义，生来就是去中心化的，组织度不如完整的教会不是很正常,zh,,,新教 就是 反 罗马 教廷 而生 的 ， 讲究 一个 因 信称义 ， 生来 就是 去 中心化 的 ， 组织 度 不如 完整 的 教会 不是 很 正常,6
比较搞笑的是现在愿意给人提供帮助的天主教当初是刮民脂民膏最狠，当初反对天主教过度世俗化腐败而成立的新教，现在站在了当初天主教的地位上，历史果然是螺旋上升。,zh,,,比较 搞笑 的 是 现在 愿意 给 人 提供 帮助 的 天主教 当初 是 刮 民脂民膏 最狠 ， 当初 反对 天主教 过度 世俗化 腐败 而 成立 的 新教 ， 现在 站 在 了 当初 天主教 的 地位 上 ， 历史 果然 是 螺旋 上升 。,6
原来你们天天乳主，就是因为大主教感性像女人吗,zh,,,原来 你们 天天 乳主 ， 就是 因为 大主教 感性 像 女人 吗,-1
世人皆知，耶稣手上有两个孔子，但却忽视了其背后还有个庄子,zh,,,世人 皆知 ， 耶稣 手上 有 两个 孔子 ， 但 却 忽视 了 其 背后 还有 个 庄子,2
非洲基督教是不是还有黑人上帝,zh,,,非洲 基督教 是不是 还有 黑人 上帝,-1
想去买本圣经，自己的圣经在家里，打算买本新的。,zh,,,想 去 买 本 圣经 ， 自己 的 圣经 在 家里 ， 打算 买本 新 的 。,10
神棍...,zh,,,神棍 ...,27
鸦片吸多了一天天瞎编乱造，封建迷信，耶稣不是孔子的儿子，我孔子孙子。,zh,,,鸦片 吸多 了 一天天 瞎编 乱造 ， 封建迷信 ， 耶稣 不是 孔子 的 儿子 ， 我 孔子 孙子 。,2
日白兄，又遭大姐暗算老嗦？ //@戴日白:啥子哟，和尚，我又没惹你！你晓得我是基督徒个嘛！  //@ERIC无泪和尚:  //@卷毛27327377: @戴日白,zh,,,日白兄 ， 又 遭 大姐 暗算 老嗦 ？   / / @ 戴日白 : 啥子 哟 ， 和尚 ， 我 又 没 惹 你 ！ 你 晓得 我 是 基督徒 个 嘛 ！     / / @ eric 无泪 和尚 :     / / @ 卷毛 27327377 :   @ 戴日白,17
基督犹太伊斯兰回都不是正道势力的,zh,,,基督 犹太 伊斯兰 回 都 不是 正道 势力 的,-1
新教堂一般只有个十字架，不可能摆什么耶稣圣母像的,zh,,,新 教堂 一般 只有 个 十字架 ， 不 可能 摆 什么 耶稣 圣母 像 的,-1
孔子比耶稣强,zh,,,孔子 比 耶稣 强,2
腓立比书2:8  既有人的样子，就自己卑微，存心顺服，以至于死，且死在十字架上。 2:9  所以　神将他升为至高，又赐给他那超乎万名之上的名， 2:10  叫一切在天上的、地上的和地底下的，因耶稣的名无不屈膝,zh,,,腓立 比书 2 : 8     既有 人 的 样子 ， 就 自己 卑微 ， 存心 顺服 ， 以至于 死 ， 且 死 在 十字架 上 。   2 : 9     所以 　 神 将 他 升为 至 高 ， 又 赐给 他 那 超乎 万名 之上 的 名 ，   2 : 10     叫 一切 在 天上 的 、 地上 的 和 地底下 的 ， 因 耶稣 的 名 无不 屈膝,24
我的律师朋友没有一个不说药家鑫该死。当然他们不是基督徒，从不坐地铁。从律师专业角度讲，药该死，从情理上将，药更该死。,zh,,,我 的 律师 朋友 没有 一个 不说 药家鑫 该死 。 当然 他们 不是 基督徒 ， 从不 坐地铁 。 从 律师 专业 角度 讲 ， 药 该死 ， 从 情理 上将 ， 药 更 该死 。,13
说信仰宗教能够保证人类的道德底线，那是无稽之谈。在大多数人信教的美国，基督徒的犯罪比例要比无神论者高得多。,zh,,,说 信仰 宗教 能够 保证 人类 的 道德 底线 ， 那 是 无稽之谈 。 在 大多数 人 信教 的 美国 ， 基督徒 的 犯罪 比例 要 比 无神论者 高得 多 。,9
上帝说：我靠！打歪了！,zh,,,上帝 说 ： 我 靠 ！ 打歪 了 ！,-1
上帝也是有黄种人形象的，一个中年男人，我见过。,zh,,,上帝 也 是 有 黄种人 形象 的 ， 一个 中年男人 ， 我见 过 。,-1
这不是我儒教的核心教义么,zh,,,这 不是 我 儒教 的 核心 教义 么,-1
基督教有什么好信的？我有点倾向于万物有灵，但是是无神论者,zh,,,基督教 有 什么 好信 的 ？ 我 有点 倾向 于 万物 有灵 ， 但是 是 无神论者,9
问题是基督是个一神教你总不能指望刻意避讳著名神话历史人物的东方把稣哥或者玛利亚搬过来吧，最多给你弄个5面一个修女，6面一个大牧首大主教，还是说找圣经看看有哪个不太知名的小人物？,zh,,,问题 是 基督 是 个 一神教 你 总 不能 指望 刻意 避讳 著名 神话 历史 人物 的 东方 把稣 哥 或者 玛利亚 搬 过来 吧 ， 最多 给 你 弄 个 5 面 一个 修女 ， 6 面 一个 大 牧首 大主教 ， 还是 说 找 圣经 看看 有 哪个 不太 知名 的 小人物 ？,-1
越探索，越觉得这个世界很不一样。为了查为什么巴塞罗那大教堂养13只鹅，于是看英文官网发现原来是代表着圣女尤拉莉娅这个13岁的处女受到13种死刑刑罚，包括滚刀筒、割乳房、钉十字架、挂铁钩和火刑等，最后被斩首。死去时，突然天降大雪，盖住了她的裸体――然而，基督教的光明即将到来。。。,zh,,,越 探索 ， 越 觉得 这个 世界 很 不 一样 。 为了 查 为什么 巴塞罗那 大 教堂 养 13 只鹅 ， 于是 看 英文 官网 发现 原来 是 代表 着 圣女 尤拉 莉娅 这个 13 岁 的 处女 受到 13 种 死刑 刑罚 ， 包括 滚刀 筒 、 割 乳房 、 钉 十字架 、 挂 铁钩 和 火刑 等 ， 最后 被 斩首 。 死去 时 ， 突然 天 降 大雪 ， 盖住 了 她 的 裸体 ― ― 然而 ， 基督教 的 光明 即将 到来 。 。 。,-1
耶稣是哪根？,zh,,,耶稣 是 哪根 ？,2
末世了，赶快悔改，时间已经不多了，圣经中预言的大灾难快来了,zh,,,末世 了 ， 赶快 悔改 ， 时间 已经 不多 了 ， 圣经 中 预言 的 大灾难 快来 了,-1
经典吹日本，连神道教都能吹起来。不知道日本基督教不盛行是因为日本图图基督徒过于彻底了吗？,zh,,,经典 吹 日本 ， 连神 道教 都 能 吹起来 。 不 知道 日本 基督教 不 盛行 是因为 日本 图 图 基督徒 过于 彻底 了 吗 ？,23
因为神父的地位比修女高,zh,,,因为 神父 的 地位 比 修女 高,11
从有记录的马可波罗1275年抵达中国，到清朝传教士入主我们朝廷的天文机构钦天监，西方人花了六百年左右偷师中华文化，然后消化吸收并篡改自己的历史！又从19世纪到现在，一直向中国及全世界灌输西方中心主义……还真是学透了我们的“愚公移山”精神，一点点渗透直至“崇洋”成为全球主流意识,zh,,,从 有 记录 的 马可波罗 1275 年 抵达 中国 ， 到 清朝 传教士 入主 我们 朝廷 的 天文 机构 钦 天监 ， 西方人 花 了 六百年 左右 偷师 中华文化 ， 然后 消化吸收 并 篡改 自己 的 历史 ！ 又 从 19 世纪 到 现在 ， 一直 向 中国 及 全世界 灌输 西方 中心主义 … … 还 真是 学透 了 我们 的 “ 愚公移山 ” 精神 ， 一点点 渗透 直至 “ 崇洋 ” 成为 全球 主流 意识,47
宗教应止于教派，在乎道的真假；信仰应止于形式，在乎信的程度。,zh,,,宗教 应止 于 教派 ， 在乎 道 的 真假 ； 信仰 应止 于 形式 ， 在乎 信 的 程度 。,9
楼主说的太好了，我骂耶稣十几年了，跟楼主不谋而合,zh,,,楼主 说 的 太好了 ， 我 骂 耶稣 十几年 了 ， 跟 楼主 不谋而合,2
因为当时不信耶稣和安拉的会被送去见它们。,zh,,,因为 当时 不 信 耶稣 和 安拉 的 会 被 送 去 见 它们 。,-1
基督教废物真多，连个教堂都被强拆的废物,zh,,,基督教 废物 真 多 ， 连 个 教堂 都 被 强拆 的 废物,25
普奇神父吗？,zh,,,普奇 神父 吗 ？,27
基督狗就是没爹妈教的畜生，虚伪恶心,zh,,,基督 狗 就是 没 爹妈 教 的 畜生 ， 虚伪 恶心,14
融入耶稣的爱时，人就拥有了无限广阔的心灵。,zh,,,融入 耶稣 的 爱时 ， 人 就 拥有 了 无限 广阔 的 心灵 。,-1
"真的是基督伊斯兰写出来的天堂与地狱的故事（犹太教世界观天堂只有天使以及上帝本神呆着，地狱只是恶魔住着的地方，）""是带有宗教宣传性质的""现代地狱天堂的题材吊丝袜和地狱客栈应该是典型了，不过真的宣传宗教的故事正常人根本看不下去吧",zh,,,"真的 是 基督 伊斯兰 写 出来 的 天堂 与 地狱 的 故事 （ 犹太教 世界观 天堂 只有 天使 以及 上帝 本神 呆 着 ， 地狱 只是 恶魔 住 着 的 地方 ， ） "" 是 带有 宗教 宣传 性质 的 "" 现代 地狱 天堂 的 题材 吊 丝袜 和 地狱 客栈 应该 是 典型 了 ， 不过 真的 宣传 宗教 的 故事 正常人 根本 看不下去 吧",-1
基督教之后，欧洲以及全球非常多次发生大规模瘟疫，每次都是死亡几千万到一亿。可以推论基督教给地球带来了诅咒，非常邪门。,zh,,,基督教 之后 ， 欧洲 以及 全球 非常 多次 发生 大规模 瘟疫 ， 每次 都 是 死亡 几千万 到 一亿 。 可以 推论 基督教 给 地球 带来 了 诅咒 ， 非常 邪门 。,-1
那很信基督教了我有时候真的觉得老外有必要稍微回归一下传统的天主教价值观了,zh,,,那 很 信 基督教 了 我 有时候 真的 觉得 老外 有 必要 稍微 回归 一下 传统 的 天主教 价值观 了,-1
格里菲斯哪有多少耶稣的事迹？除了受苦然后复活？这也太牵强了,zh,,,格里菲斯 哪有 多少 耶稣 的 事迹 ？ 除了 受苦 然后 复活 ？ 这 也 太 牵强 了,5
你别黑圣经亚伯拉罕就是虔诚到可以献祭儿子但上帝最后也没让献祭,zh,,,你别 黑 圣经 亚伯拉罕 就是 虔诚 到 可以 献祭 儿子 但 上帝 最后 也 没 让 献祭,-1
欧洲人自称西元1762年前不会纺织。中世纪及之前应该没衣服穿。,zh,,,欧洲人 自称 西元 1762 年前 不会 纺织 。 中世纪 及 之前 应该 没 衣服 穿 。,-1
@麻辣隔壁的星星 你出了那垃圾吧，你觉得你自认“爸爸”的资格有多少？难不成你是基督教的father神父？,zh,,,@ 麻辣 隔壁 的 星星   你 出 了 那 垃圾 吧 ， 你 觉得 你 自认 “ 爸爸 ” 的 资格 有 多少 ？ 难不成 你 是 基督教 的 father 神父 ？,36
基督教就是嫉妒自私，爱搞小团体，排在，喜欢坐享其成，最重要，他们认为不信他们的上帝耶稣就会下地狱。我就不明白了，耶稣凭什么这么牛？我不是诋毁宗教，只是觉得我所接触见到过的基督教都是如此,zh,,,基督教 就是 嫉妒 自私 ， 爱 搞 小团体 ， 排 在 ， 喜欢 坐享其成 ， 最 重要 ， 他们 认为 不 信 他们 的 上帝 耶稣 就 会 下 地狱 。 我 就 不 明白 了 ， 耶稣 凭 什么 这么 牛 ？ 我 不是 诋毁 宗教 ， 只是 觉得 我 所 接触 见到 过 的 基督教 都 是 如此,9
起源不同。张角或者说道教的起源更像是依附于儒法两家、借助道家学说，结合民间传说而成的次生宗教，耶稣基于族群生存，佛教诞生于政治斗争，起点不一样，相关理论高度就不一样，要解释的问题也不同。更何况东汉末年黄巾起义，道教被按死是板上钉钉的事情。,zh,,,起源 不同 。 张角 或者说 道教 的 起源 更 像是 依附于 儒法 两家 、 借助 道家 学说 ， 结合 民间传说 而成 的 次生 宗教 ， 耶稣 基于 族群 生存 ， 佛教 诞生 于 政治 斗争 ， 起点 不 一样 ， 相关 理论 高度 就 不 一样 ， 要 解释 的 问题 也 不同 。 更何况 东汉 末年 黄巾起义 ， 道教 被 按 死 是 板上钉钉 的 事情 。,2
回复@世法空相:怎么我反复说也不理解，讨论的是基督教内部自己拥有的理念，不是讨论它和外部的关系。不能自说自话一厢情愿，按自己觉得合适的方式去设想世界。要理解别人的逻辑，而不是用你的逻辑去代表别人的逻辑。,zh,,,回复 @ 世法 空相 : 怎么 我 反复 说 也 不 理解 ， 讨论 的 是 基督教 内部 自己 拥有 的 理念 ， 不是 讨论 它 和 外部 的 关系 。 不能 自说自话 一厢情愿 ， 按 自己 觉得 合适 的 方式 去 设想 世界 。 要 理解 别人 的 逻辑 ， 而 不是 用 你 的 逻辑 去 代表 别人 的 逻辑 。,-1
首先你要明白为什么要有传教士，传教士的作用是什么？儒家不需要传教士，从汉代官方就开始推广和执行，儒家思想已经深入人心了。道教是有传教者的。,zh,,,首先 你 要 明白 为什么 要 有 传教士 ， 传教士 的 作用 是 什么 ？ 儒家 不 需要 传教士 ， 从 汉代 官方 就 开始 推广 和 执行 ， 儒家思想 已经 深入人心 了 。 道教 是 有 传教 者 的 。,28
你俩在干啥！ //@任志强:那地方的金上帝不认识你吧。  //@潘石屹:上帝指引着我，保护着我。  //@任志强:去天堂拜佛？小心迷路回不来了。,zh,,,你 俩 在 干 啥 ！   / / @ 任志强 : 那 地方 的 金 上帝 不 认识 你 吧 。     / / @ 潘石屹 : 上帝 指引 着 我 ， 保护 着 我 。     / / @ 任志强 : 去 天堂 拜佛 ？ 小心 迷路 回不来 了 。,17
社会上已经找不到答案，只能从教会//@诗人刀哥: 如果真正良好的教育能从幼儿园开始，如果人们有宗教信仰的自由，这些人长后断然不会变成凶残的暴徒。,zh,,,社会 上 已经 找 不到 答案 ， 只能 从 教会 / / @ 诗人 刀哥 :   如果 真正 良好 的 教育 能 从 幼儿园 开始 ， 如果 人们 有 宗教信仰 的 自由 ， 这些 人长 后 断然 不会 变成 凶残 的 暴徒 。,51
前面我家里门被敲开了一个老和尚，号称自己玉佛寺额，手上拿一张卡，号称菩萨60年开光额*&*@#%……你们懂的。。。。然后我说我家里信基督的。。。罪过罪过。。。,zh,,,前面 我 家里 门 被 敲开 了 一个 老和尚 ， 号称 自己 玉佛寺 额 ， 手上 拿 一张 卡 ， 号称 菩萨 60 年 开光 额 * & * @ #% … … 你们 懂 的 。 。 。 。 然后 我 说 我 家里 信 基督 的 。 。 。 罪过 罪过 。 。 。,23
搞拜上帝教不就行了,zh,,,搞 拜 上帝教 不 就行了,-1
我玷污你信仰了么？基督狗？骂人还要骂我祖宗，你们的主还真是伟大啊？以牙还牙就教你这？你这纯粹只能让我增加对基督狗恶感而已。,zh,,,我 玷污 你 信仰 了 么 ？ 基督 狗 ？ 骂人 还要 骂 我 祖宗 ， 你们 的 主 还 真是 伟大 啊 ？ 以牙还牙 就 教 你 这 ？ 你 这 纯粹 只能 让 我 增加 对 基督 狗 恶感 而已 。,14
我不了解基督教，我还不了解抖u嘛,zh,,,我 不 了解 基督教 ， 我 还 不 了解 抖 u 嘛,6
"圣母：牺牲自己拯救他人
圣母婊：牺牲旁人拯救他人",zh,,,"圣母 ： 牺牲 自己 拯救 他人 
 圣母 婊 ： 牺牲 旁人 拯救 他人",50
背弃圣灵是吧,zh,,,背弃 圣灵 是 吧,27
你说得对，这些人并不关心真正的精神祖国是什么样子，只是在脑海里虚构一个天堂。要我说不如去信教，至少教会还有圣餐吃,zh,,,你 说得对 ， 这些 人 并 不 关心 真正 的 精神 祖国 是 什么 样子 ， 只是 在 脑海 里 虚构 一个 天堂 。 要 我 说 不如 去 信教 ， 至少 教会 还有 圣餐 吃,47
"经典笑话了
普世教派并不普遍、正教派并不正统、新教派并不新。",zh,,,"经典笑话 了 
 普世 教派 并 不 普遍 、 正 教派 并 不 正统 、 新教派 并 不 新 。",6
1980年出版的一本自我访谈里，卡波特写道：“上帝的确眷顾我。但我恐怕不是个圣徒。我是个酗酒者、瘾君子，同性恋和天才。很显然我不能既是圣徒又是这么四个可疑的玩意儿。”,zh,,,1980 年 出版 的 一本 自我 访谈 里 ， 卡 波特 写道 ： “ 上帝 的确 眷顾 我 。 但 我 恐怕 不是 个 圣徒 。 我 是 个 酗酒 者 、 瘾君子 ， 同性恋 和 天才 。 很 显然 我 不能 既 是 圣徒 又 是 这么 四个 可疑 的 玩意儿 。 ”,-1
基督徒注意：凡是脱离圣经教导的言论都不可信！,zh,,,基督徒 注意 ： 凡是 脱离 圣经 教导 的 言论 都 不可 信 ！,-1
惩罚耶稣学,zh,,,惩罚 耶稣 学,27
伪基督们在造势了,zh,,,伪 基督 们 在 造势 了,-1
虽然都是信教的，但也要分个高下，这位佛教徒行为就比基督狗好多了，不打搅别人，不涉政治,zh,,,虽然 都 是 信教 的 ， 但 也 要 分个 高下 ， 这位 佛教徒 行为 就 比 基督 狗 好多 了 ， 不 打搅 别人 ， 不涉 政治,23
闹麻了，修女修道院什么的是美国吗？这不欧洲的东西？,zh,,,闹麻 了 ， 修 女修道院 什么 的 是 美国 吗 ？ 这 不 欧洲 的 东西 ？,11
我看着神父也是风韵犹存啊,zh,,,我 看着 神父 也 是 风韵犹存 啊,34
额第耶稣呀,zh,,,额 第 耶稣 呀,2
我以圣灵、圣父、圣子的名义宣布――你们成不了夫妻，现在，你们来打我呀~,zh,,,我以 圣灵 、 圣父 、 圣子 的 名义 宣布 ― ― 你们 成不了 夫妻 ， 现在 ， 你们 来 打 我 呀 ~,33
"宗教是有的，但感觉大部分都是斜角（毕竟都市大环境原型就是🇰🇷）
某种程度上来说图书馆的艾琳主教也是修女，但如果你要的是信天主教的原教旨主义修女的话，那多半没有，天主教多半早就失传了",zh,,,"宗教 是 有 的 ， 但 感觉 大部分 都 是 斜角 （ 毕竟 都市 大 环境 原型 就是 🇰 🇷 ） 
 某种程度 上 来说 图书馆 的 艾琳 主教 也 是 修女 ， 但 如果 你 要 的 是 信 天主教 的 原教旨主义 修女 的话 ， 那 多半 没有 ， 天主教 多半 早就 失传 了",11
读你千遍也不厌倦，《圣经》。,zh,,,读 你 千遍 也 不 厌倦 ， 《 圣经 》 。,10
圣战只能对邪恶或敌对的统治者使用，东亚三国的宗教都有法界圆融的特殊教义，彼此之间视为正义，所以不能圣战。佛教只有新加的那几个派别有法界圆融的教义，之前的那些没有，所以可以对他们发动圣战，包括大乘佛教,zh,,,圣战 只能 对 邪恶 或 敌对 的 统治者 使用 ， 东亚 三国 的 宗教 都 有 法界 圆融 的 特殊 教义 ， 彼此之间 视为 正义 ， 所以 不能 圣战 。 佛教 只有 新加 的 那 几个 派别 有 法界 圆融 的 教义 ， 之前 的 那些 没有 ， 所以 可以 对 他们 发动 圣战 ， 包括 大乘 佛教,-1
md，本来想转发到群里，突然发现有个基督教的室友。哼😤,zh,,,md ， 本来 想 转发 到 群里 ， 突然 发现 有个 基督教 的 室友 。 哼 😤,-1
正经的流程应该是逐出教会还有刑法吧，不正经的不说了,zh,,,正经 的 流程 应该 是 逐出 教会 还有 刑法 吧 ， 不正经 的 不 说 了,-1
@上海人李�::文明是物质性的、生存的、基于欲望的；文化是精神性的、存在的，基于心灵的。中世纪的黑暗，文革式的野蛮，既剥夺欲望的合理性和生存的权利，又禁锢自由、摧残心灵、践踏文化。日常人生，要的是生存的权益；诗意存在，要的是思想、信仰、言论、写作、出版等等的人文创造的自由。,zh,,,@ 上海 人 李 � : : 文明 是 物质性 的 、 生存 的 、 基于 欲望 的 ； 文化 是 精神性 的 、 存在 的 ， 基于 心灵 的 。 中世纪 的 黑暗 ， 文革 式 的 野蛮 ， 既 剥夺 欲望 的 合理性 和 生存 的 权利 ， 又 禁锢 自由 、 摧残 心灵 、 践踏 文化 。 日常 人生 ， 要 的 是 生存 的 权益 ； 诗意 存在 ， 要 的 是 思想 、 信仰 、 言论 、 写作 、 出版 等等 的 人文 创造 的 自由 。,47
台湾道士已经搞定耶稣了，到底是台湾人，思维就是强过大陆。//@道��-正统道教网站: 还是台湾人牛啊 @宝中堂,zh,,,台湾 道士 已经 搞定 耶稣 了 ， 到底 是 台湾人 ， 思维 就是 强 过 大陆 。 / / @ 道 � � - 正统 道教 网站 :   还是 台湾人 牛 啊   @ 宝 中堂,2
