text,model_votes,average_prob,sampling_strategy_tag
https://x.com/tachib.../1829781737364459963 このお笑い芸人のいうことたいてい外れてるよね 去年の裁判もほとんど敗訴ｗｗｗ,5/0,1.0,consistent_hate
>>431 アホなの？,5/0,1.0,consistent_hate
？,0/5,0.8,consistent_non_hate
山神終了のお知らせ,0/5,0.8,consistent_non_hate
この仕組みいる？,0/5,0.8,consistent_non_hate
劇場版だけデジタルリマスターしていたな,0/5,0.8,consistent_non_hate
アンチが出す情報にも相当な衝撃を受け入れたのでしょうか。 まず、ログインメールアドレスとパスワードの組み合わせは,0/5,0.8,consistent_non_hate
ネット生活29年ーーーーーさいあく🔥,0/5,0.8,consistent_non_hate
スーパーセルからまた著作権料貰うから大丈夫なん？ 土曜ドラマはなんだろうけど,0/5,0.8,consistent_non_hate
・,0/5,0.8,consistent_non_hate
>>68 https://blog-imgs-76...tesuto93/z34rofV.jpg,0/5,0.8,consistent_non_hate
(⚫︎ω･`)<火炙りは良くないなぁ 新しいの立ってた？,0/5,0.8,consistent_non_hate
https://youtube.com/...?si=0qxNj91YZz80vagl,0/5,0.8,consistent_non_hate
MAD/AMV 機動戦士ガンダム 閃光のハサウェイ 「閃光」Alexandros https://www.youtube....mS3J_U&start_radio=1 これも作っちゃうかなw,0/5,0.8,consistent_non_hate
https://i.imgur.com/OLLKsPn.gif,0/5,0.8,consistent_non_hate
かな打ち(´・ω・｀),0/5,0.8,consistent_non_hate
>>25 繋がってしまった…,0/5,0.8,consistent_non_hate
そっちは下らないがこっちは興味深い,0/5,0.8,consistent_non_hate
https://video.twimg....FOfgiKXAr.mp4?tag=12,0/5,0.8,consistent_non_hate
創造主を甘く見すぎなのだ。,0/5,0.8,consistent_non_hate
>>56 当時配信で稼いでるからな,0/5,0.8,consistent_non_hate
その水入れてる丸い容器て作れるもんなの？でかくね結構,0/5,0.8,consistent_non_hate
