text,model_votes,average_prob,sampling_strategy_tag
https://x.com/tachib.../1829781737364459963 このお笑い芸人のいうことたいてい外れてるよね 去年の裁判もほとんど敗訴ｗｗｗ,5/0,1.0,consistent_hate
>>431 アホなの？,5/0,1.0,consistent_hate
アオイに来て3年目の後半文面が怖いんだけど 最初のメールアドレスとパスワードをお忘れですか？」ことパスワード再設定画面への執着っぷりが怖いわ なんか関係あったっけ,0/5,0.8,consistent_non_hate
トルトゥリエ,0/5,0.8,consistent_non_hate
https://animal-liber...net/issue/slaughter/,0/5,1.0,consistent_non_hate
町の人々はエリシャに言った、 「見られるとおり、 この町の場所は良いが 水が悪いので、この地は 流産を起すのです」。 エリシャは言った、 「新しい皿に塩を盛って、 わたしに持ってきなさい」。 彼らは持ってきた。 エリシャは水源へ出て行って、 塩をそこに投げ入れて言った、 「YHWHはこう仰せられる、 『わたしはこの水を 良い水にした。もはやここには 死も流産も起らないであろう』」。 こうしてその水は エリシャの言ったとおりに 良い水になって今日に至っている。 彼はそこからベテルへ上ったが、 上って行く途中、 小さい子供らが町から出てきて 彼をあざ笑って、彼にむかって 「はげ頭よ、のぼれ。はげ頭よ、のぼれ」 と言ったので、 彼はふり返って彼らを見、 YHWHの名をもって彼らを呪った。 すると林の中から 二頭のメスの熊が出てきて、 その子供らのうち四十二人を裂いた。 彼はそこからカルメル山へ行き、 そこからサマリヤに帰った。 （列王記下）,0/5,0.8,consistent_non_hate
重い腰上げて 懸案のデスクトップPC掃除 スゴイ黒茶埃でしたわ めんどくてグラボは掃除せずだったけど カリカリ音は消えた、良かった,0/5,0.8,consistent_non_hate
(⚫︎ω･`)<火炙りは良くないなぁ 新しいの立ってた？,0/5,0.8,consistent_non_hate
🌷,0/5,0.8,consistent_non_hate
水を差して関西風にしてあげよう,0/5,1.0,consistent_non_hate
ユリウス曆 2025年 6月(August) 22日(月曜日),0/5,0.8,consistent_non_hate
普通に思ったほどじゃなかった／(^o^)＼,0/5,0.8,consistent_non_hate
>>14 見たかったなw,0/5,1.0,consistent_non_hate
お早うございます。 今日も寒いね、冬の服で厚着をしています。,0/5,0.8,consistent_non_hate
わたしのこの超でかい 大天使の輪を見よ。いやらしくて最高であろう,0/5,0.8,consistent_non_hate
無職スーパーパヨチンブラザーズｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗｗ,0/5,0.8,consistent_non_hate
あっ・・・,0/5,0.8,consistent_non_hate
