Text,True_Hate,Pred_Hate,Error_Type
本当のキリスト教徒なら、見つけるべきだ。 真実のイエスをな。 2人いたことも。,0,1,误报(FP)
>>410 福音派の連中は聖書の御言葉とは真逆の生き方をしてる。 新約聖書 ルカによる福音書/ 18章 自分は正しい人間だとうぬぼれて、他人を見下している人々に対しても、イエスは次のたとえを話された。 「二人の人が祈るために神殿に上った,0,1,误报(FP)
「アメリカは、キリスト教原理主義・新保守主義に、いかに乗っ取られたのか?」 | Révision Du Livre 296現在の記事:,0,1,误报(FP)
キリスト教とイスラム教の神概念には共通した点があるが、違いの方が大きい。,0,1,误报(FP)
原村の息子の山の企画アピールする老婆は勘弁して下さい。教会活動と全く関係ない事をゴリ押しされても困ります。 教会の老害は早く淘汰して下さい。,0,1,误报(FP)
宮中クーデターを狙う安倍政権の危険な思惑が垣間見えるような天皇の生前譲位説というデマ 私ではなくキリストV category:偽りの神の国論 / *edit,0,1,误报(FP)
>>3 これ誰も突っ込まないが、イエスは復活したんだから遺骨や墓があったらおかしいやん,0,1,误报(FP)
まあ 安倍晋三と統一教会に関係あったって立証されたし 自民党と統一教会もズブズブだったって立証されたね,0,1,误报(FP)
キリスト信者には愛国心がないと言う者はまちがっている。また愛国心は偏狭なる心であって、信者にふさわしからざるもの、人類愛こそキリストの心であって、特別に自分の国を愛するというがごときかんがえは、キリストの精神にそむき、信者がなしてはならない,0,1,误报(FP)
しかしキリスト教が提示する神像は正確 無神論者だった俺が神秘体験で直知したけど神は確かに愛だった,0,1,误报(FP)
助けないぞ、助けられないぞ、イエスと聖書、出口王仁三郎と日月神示。 人類補完計画、救いは妄想だった案件anan性癖が原因な妬みといじめ。。 そもそも不可能である。。 仕事しないマンJesus&Japhkiel,0,1,误报(FP)
>>608 「統一教会と安倍はズブズブ」が山上被告のツイートだと思ったの? すげー角度で信じてくるなお前・・・,1,0,漏报(FN)
台湾お前もかwwwwww  ボランティア選挙活動の推測 統一教会が、自前の政党(天宙和平統一家庭)や、協力関係にある保守的な候補者・政党に対して、以下のような形でボランティア支援を行っていると強く推測されます。 1. 自前の政党(天宙和,0,1,误报(FP)
>>85 -87 追記 https://mao.5ch.net/...r/1679733656/857-859 繰り返すが、統一教会自民党や日本会議が作る軍は弱すぎる それもこれも三菱重工のような大企業からワイロを受け取ることで成り上がった、 汚職ズブズ,0,1,误报(FP)
ユダヤ「ユダヤ以外は全員地獄行き」 イエス「ユダヤ教徒の方が地獄行き」 隣人愛とはいったい,0,1,误报(FP)
>>203 既に答えた。統一教会は政府ではない。 与党の支持者まで含めるのは論点ずらし。 支持者は政府ではない。,0,1,误报(FP)
すべての人が悔い改め救われることが神の御心ですから その御心が天にあるように地にも行われるようにと 日々祈ることが信徒の務めです。 これが万民救済の立場 そのためにイエスの教えがあるのですから マリア偶像崇拝はやめて神の教えに生きる ということ。 すべてつなが,0,1,误报(FP)
UFOパラレル・ワールド 日本は津波による大きな被害を受けるだろう: (アンチ・クリスト):神の意志の相のエネルギー。ローマ時代にはネロ皇帝を通して、現代ではヒトラーと彼の6人の側近を通して顕現した。,0,1,误报(FP)
Σ(︎ω・`)<これは...! ローマが陥落してる! よーし、ガリア人達を住まわせてあげよう,0,1,误报(FP)
>>603 統一教会の影響力を低く見積もりたくて必死だけど 参政党だけじゃないだろ自民党がいるじゃん 維新もいるでしょ,0,1,误报(FP)
この世界を創造した神が 全ての生物を進化させる為に この世界を創造したのに イエスも辛い事から逃げない 野の花や空飛ぶ鳥を褒めていた それを辛いことから逃げ回る そんな奴は天から選ばれる事は絶対ない キリスト教の精神と 真逆の人生を送りながら 自分は敬なクリスチャンだと思い込むキ,0,1,误报(FP)
福音伝道は病院に行くのを怖がりました・・私も数年行っていません・・,1,0,漏报(FN)
詐欺師の種は来世で芽が出ます<m(__)m> 福音伝統の誹謗中傷をただしにきただけです<m(__)m> 宿世外道・・ 知識は力なり,0,1,误报(FP)
>>16 旧約聖書の天地創造を笑う無神論者は多いが 創世記は理論物理学が書かれているわけではない。 御言葉は聖書の文学的表現という。,0,1,误报(FP)
旧約聖書には「餓鬼」「畜生」に生まれ変わるなどの教えはありません(キッパリ!,0,1,误报(FP)
ま、所詮は117スレのスレタイで信仰対象の名を間違える様なスレ主だからなw,0,1,误报(FP)
1.家族内での悪者探しについての問題|金沢聖書バプテスト教会 金沢聖書バプテスト教会 > 精神障がい者について > 家族共同体の危機とその癒し 聖書と精神医療より > 1.家族内での悪者探しについての問題 1.家族内での悪者探しについての問題関連ページ 4.聖書と,0,1,误报(FP)
百条委員会に維新は徳永という弁護士の 意見書を出させた(斎藤のしたことはセーフとの) 徳永弁護士は統一教会の弁護士だ なぜ維新と統一教会の関係性は問われないのか? 政党と統一教会の関係などあってはならない そういう常識道理がある現在の日本のはずなのに,0,1,误报(FP)
