Text,True_Hate,Pred_Hate,Error_Type
信仰が人を殺すとき: でじたる異言ノォト « ななこSOS 3 | トップページ | 月迷宮 恋月姫人形展 » http://app.cocolog-nifty.com/t/trackback/11321/4129618 この記事,1,0,漏报(FN)
信仰が殺すとき:デジタル・タンズ・ノート「ナナコSOS3」|トップページ|ムーン・ラビリンス:月のプリンセス人形展http://app.cocolog-nifty.com/t/trackback/11321/4129618,1,0,漏报(FN)
信仰が殺··すとき:。デジタル・タンズ・ノート「ナ、ナコSOS3」|トップペー。ジ...|ムー。ン・ラ!ビリン。ス:月のプリンセス人形展http://a...pp.c!o!、colog-,1,0,漏报(FN)
信...!仰が人?!を殺すとき: でじたる異言ノ...ォト 、«。? ななこSOS 3 | トップページ | 月迷宮 恋月姫人形展 » ht!tp?://app·.co?colog-nift?y.、,1,0,漏报(FN)
それは、主イエスを よみがえらせたかたが、 わたしたちをも イエスと共によみがえらせ、 そして、あなたがたと共に み前に立たせて下さることを、 知っているからです。,0,1,误报(FP)
明治の頃は国家神道を世界化しようとしたんだが世界はキリストやってて戦争が怒って昭和でドボン,1,0,漏报(FN)
>>...41!0 !福...音派の連中は聖書の、御言葉とは。。真逆の生き方をしてる...。 新?!約聖·書 ルカ·による·福音?書/... 18章 自分は、正しい人間だとうぬぼれて、他人を見下して、いる人々に対して·、,0,1,误报(FP)
>>718 善意の実践を「自己犠牲」などと大袈裟に言うお前は楽をしたいだけのクズ。 『』を多用するお前の文って読みづらいから嫌いなんだよね。 Miletへのレスなのにお前が割り込んでくるなよ。 先にお前が答えろ。 カ,0,1,误报(FP)
>>718 お前はただの怠け者のクズで、善意の行為を「自己犠牲」と大げさに誇張するだけだ。あの『』マークだらけの文章、読みにくくて腹が立つ。ミレットへの返答に口出しするな。まず俺の質問に答えろ。カトリック批判,0,1,误报(FP)
>>718 お前はただの怠け·者のク!!ズで、善意の行為を「?自己犠牲」と大げさに誇張するだけだ...。あの『』マ?!ークだらけの文章、読みにくくて腹が立つ。ミレットへの返?!答に口出しするな。ま,0,1,误报(FP)
>>718 善意の実践を「自己犠牲?」などと大袈裟に、言うお前は、楽をしたいだけのクズ?。 『』を多用するお前の文...!って読みづらいから、嫌いな、んだ...よね。 Miletへのレスなのにお前が割り込んでくるなよ。 先に,0,1,误报(FP)
統·一教会から自民、に?ほうほう,1,0,漏报(FN)
権力者に従うことは神に従うことと同じではない | 東方閃電 前へ:三自教会の牧師に対するクリスチャンの素晴らしい反論 次へ:中共の無神論洗脳に対するクリスチャンの反撃,1,0,漏报(FN)
権力者への服従は神への服従とは異なる | 東方閃電前:三自教会牧師に対するクリスチャンの優れた反論次:中国共産党の無神論洗脳に対するキリスト教徒の反撃,1,0,漏报(FN)
!権力者に従うことは神に従うこ!とと同じではない | 東?方閃電 前へ:三自教会の牧師に対するクリスチャンの素晴らしい反論 次へ!:中共の無神論洗脳に対す、·るクリスチャンの反...!撃,1,0,漏报(FN)
堕地獄で脅迫 「和合僧破壊とは、信者集団の信仰心を乱す行為のことで、これを行うと地獄に落ちると幸福の科学では教えています。『正心法語』という教団のお経があり、支部などでの集会でしばしば唱和され、熱心な信者は、これを読み,0,1,误报(FP)
地獄を脅しに使う:「幸福の科学」は、僧侶共同体の調和を乱す行為——信者の信仰心を揺るがす行為——が地獄への道だと説く。『正心法語』という経典があり、支部集会などで唱和されることが多い。熱心な信者は自宅でこの経典,0,1,误报(FP)
地獄を脅しに使う:「幸福の科学」!は、僧侶共同体の調和を乱。す行為——信者の?信仰心を揺るがす行為——が地獄への道だと説く。、『正心法語、』という経典があ、り、支部集会などで唱和されることが多い。,0,1,误报(FP)
堕地獄で脅迫 「!和合僧破壊とは、信者集団の信仰·心を乱す行為のことで、これを行うと地獄?に落!ちると·幸福の科学では...教?·?えています。『正心法語!』という教団のお経があり、支部などでの!集会,0,1,误报(FP)
本当のキリスト教徒なら、見つけるべきだ。 真実のイエスをな。 2人いたことも。,0,1,误报(FP)
?...本·当のキ、リ·スト教徒なら、見つけるべ、?きだ。 真実のイエスをな。 2人いたことも。,0,1,误报(FP)
ユダヤ人に勝てなかった キリスト教の教会にアメリカが原爆を落とした,0,1,误报(FP)
アメリカはユダヤ人を打ち負かすことができなかったため、キリスト教の教会に原子爆弾を投下した。,0,1,误报(FP)
ア·メリ!?カはユ。ダヤ人を打ち負かす·ことができなか、った!ため、キリスト。教の教会に原子爆弾を投下した。,0,1,误报(FP)
