Text,True_Hate,Pred_Hate,Error_Type
5位 ぼくの東京全集 1951−2016 6位 ウルトラ怪獣幻画館 7位 青春怪談 8位 仁義なきキリスト教史 9位 悪党どものお楽しみ 10位 パルプ,0,1,误报(FP)
本当のキリスト教徒なら、見つけるべきだ。 真実のイエスをな。 2人いたことも。,0,1,误报(FP)
>>410 福音派の連中は聖書の御言葉とは真逆の生き方をしてる。 新約聖書 ルカによる福音書/ 18章 自分は正しい人間だとうぬぼれて、他人を見下している人々に対しても、イエスは次のたとえを話された。 「二人の人が祈るために神殿に上った,0,1,误报(FP)
自分は50代特撮世代 20代息子は1人で 10代娘は同世代友人とそれぞれ観に行ったよ ちなみに最初に観ておすすめしてきたのは息子 ネットにタローマン情報流れてて以前からなんとなく知ってたらしい,0,1,误报(FP)
ペンテコステ・カリスマ運動の反聖書性―キリストの十字架の切り分けを否定して未分化の東洋思想への回帰を唱える危険な運動7ーグノーシス主義的三位一体論|偽りの神の国論(グノーシス主義)|私ではなくキリストIII(,0,1,误报(FP)
「アメリカは、キリスト教原理主義・新保守主義に、いかに乗っ取られたのか?」 | Révision Du Livre 296現在の記事:,0,1,误报(FP)
村上密・杉本徳久の両名を被告とした民事訴訟(第一審)の総括(13)―不透明な資金の流れと、人権侵害がつきものの村上密の反カルト脱会運動|カルト被害者救済活動の反聖書性|私ではなくキリストII(東洋からの風の便りI),0,1,误报(FP)
>>5 >最初のローマ帝国史解説本も19世紀のイギリスで作られたやつだし イタリアルネサンス舐めるなクソが,0,1,误报(FP)
"十三 チャイエス ベリーベリーを体験|ALL風俗.com チャイエス, ベリーベリー, 十三 お店に行くと、超絶忙しそうw さすが3が日をすぎると、すごく忙しそうですね。 お客さんが入っては消えて入っては消えてw 予約だけして、時間になったらくるってお客さんもw それを横",0,1,误报(FP)
キリスト教とイスラム教の神概念には共通した点があるが、違いの方が大きい。,0,1,误报(FP)
治療したのですが再発して膣内にもできてしまいました。 膣内の治療方法を教えていただけませんか? あと、下の舌あたりにイボ?水ぶくれ?みたいなできものが4コ程できたのですが、口内にも感染するのでしょうか? 質問者:やんちゃるもんちゃ さん でるまでるま 先生による,0,1,误报(FP)
(イエスタデイ・アンド・トゥディから転送) ^ 以前には英国では未発表となっている楽曲が、米国で先にリリースされたケースもあった。 「https://ja.wikipedia.org/w/index.php?title=イエスタデイ・アンド・トゥデイ&old,0,1,误报(FP)
原村の息子の山の企画アピールする老婆は勘弁して下さい。教会活動と全く関係ない事をゴリ押しされても困ります。 教会の老害は早く淘汰して下さい。,0,1,误报(FP)
キリスト教団体がバンス米副大統領を猛批判...「イエスに背いた」とされる発言とは? 2025年2月14日 https://www.newsweek...d/2025/02/537423.php https://pbs.twimg.co,0,1,误报(FP)
宮中クーデターを狙う安倍政権の危険な思惑が垣間見えるような天皇の生前譲位説というデマ 私ではなくキリストV category:偽りの神の国論 / *edit,0,1,误报(FP)
アンブリム島の民話 (記事のアップ: 2007/7/25) アンブリム島はUFOが飛んでいるような形をしている。そのせいではないだろうが、昔から「悪魔の遊び場」と呼ばれ、19世紀以降キリスト教化が進んだバヌアツの中で、今も何かにつけてブラック・マジシャン(魔術師,0,1,误报(FP)
