Text,True_Hate,Pred_Hate,Error_Type
支 教 老 师 就 是 儒 教 传 教 士 ， 现 代 更 是 大 力 推 送 孔 子 学 院 另 外 儒 教 主 要 是 向 皇 帝 诸 侯 传 教 而 道 教 则 是 有 点 化 一 说 。 不 像 基 督 教 那 样 逮 住 一 个 传 教,1,0,漏报(FN)
支 持 ， 我 不 玩 ， 送 了 就 更 大 概 率 挨 砍 了 ， 这 耶 狗 就 该 砍 废,1,0,漏报(FN)
适 可 而 止 ， 过 了 就 不 好 ， 发 展 到 人 肉 搜 索 恶 意 攻 击 就 不 好 了 / / @ 建 业 number1 : # 圣 战 威 武 # 支 持 正 义 的 圣 战 ！ 就 该 治 治 这 些 粉 棒 子 的 脑 残 ！ 每,1,0,漏报(FN)
# 韩 国 围 棋 队 主 教 练 发 声 # 棒 子 不 值 得 被 尊 重 ！,1,0,漏报(FN)
犹 太 人 在 哪 里 ， 灾 难 就 在 哪 里 ， 包 括 纽 约 犹 太 教 堂 的 地 下 通 道 和 带 血 的 床 单 。 / / @ 老 电 工 12345 : 血 的 教 训,1,0,漏报(FN)
那 些 uma 教 会 我 们 的 事 。,0,1,误报(FP)
各 种 宗 教 里 ， 只 有 基 督 教 教 人 爱 人 ， 教 人 独 立 人 格 ， 教 人 平 等 。,0,1,误报(FP)
修 女 也 疯 狂 ？,0,1,误报(FP)
欧 洲 在 中 世 纪 ， 各 方 面 是 严 重 落 后 于 中 國 的 。 仅 少 数 宗 教 人 士 与 贵 族 有 书 识 字 ， 大 多 是 文 肓 及 奴 隶 。 歌 德 讲 过 ， 当 我 们 祖 先 生 活 在 森 林 中 ， 中,0,1,误报(FP)
东 正 ： 拜 占 庭 那 边 天 主 ： 罗 马 那 边 新 教 ： 宗 教 改 革 后 反 天 主 就 算 。 所 以 摩 门 教 应 该 也 算,0,1,误报(FP)
神 棍 们 为 了 聚 财 满 足 自 己 超 越 九 位 数 的 财 富 生 活 ， 基 本 都 会 洗 脑 控 制 教 徒 ， 在 教 义 里 写 着 虚 伪 的 话 语,0,1,误报(FP)
# 以 色 列 欢 迎 美 国 退 出 联 合 国 人 权 理 事 会 # 真 的 是 蛇 鼠 一 窝 狼 狈 为 奸 一 气 这 俩 货 的 存 在 ， 真 的 就 是 赤 裸 裸 的 侮 辱 人 类 文 明,1,0,漏报(FN)
过 去 的 美 帝 养 正 规 政 府 当 狗 搞 世 俗 化 现 在 的 美 帝 养 恐 怖 分 子 玩 极 端 教 义 真 是 一 代 不 如 一 代,0,1,误报(FP)
