text,model_votes,average_prob,sampling_strategy_tag
政治家達がカルトとつるまなきゃ少なくとも狙われることはなかっただろ カルト関係者自体は不可避,3/3,0.4006155828634898,uncertain_or_low_confidence
>>134 初代教皇ペトロは主キリストが使徒たちの頭として任命した。 二代目教皇が選ばれた時は聖パウロや存命の使徒たちは反対しなかった。 使徒たちの頭は正統に継承されている。 偶像崇拝ではない。 企業や団体など組織をまとめる上長は存在する。 他の宗教団体にもトップは存在する。 ローマカトリック教会の教皇だけを否定する理由は無いだろう。,1/5,0.44759867588679,uncertain_or_low_confidence
キリスト教が一番人を殺してるのにキリスト教で平和になるとか片腹痛いwwwイテテ,1/5,0.4353735347588857,uncertain_or_low_confidence
「他人には厳しく自分には甘い」蓮舫 「R」シールをガン無視、勘違いで小池批判も謝罪ナシ…選挙後の止まらぬイメージダウン https://pug.5ch.net/...liveplus/1720653548/,2/4,0.3899121781190236,uncertain_or_low_confidence
日本共産党 https://www.jcp.or.j...2023012104_03_0.html まず指摘しておかなければならないのは、松竹氏の行動が党のルールに反していることです。 党規約では、党員は、「中央委員会にいたるどの機関にたいしても、質問し、意見をのべ、回答をもとめる」（第５条第６項）ことができるとしています。 松竹氏も「党首公選制」を実施すべきだという意見があるなら、中央委員会に対しても幹部会や常任幹部会に対しても、そうした意見をのべる権利がありました。 しかし、松竹氏が、そうした行動をとったことは、これまでただの一度もありません。異論があれば党内で意見をのべるということを一切しないまま、 「公開されていない、透明でない」などと外からいきなり攻撃することは、「党の内部問題は、党内で解決する」（第５条第８項）という党の規約を踏み破るものです。 「党首公選制」についていえば、日本共産党の規約が、党員の直接投票によって党首を選出するという方式をとっていないことには理由があります。 そうした方式を実施するならば、理の必然として、各候補者が多数派を獲得するための活動を奨励する――派閥・分派をつくることを奨励することになっていくからです。 日本共産党は、旧ソ連や中国の干渉によって党が分裂した「５０年問題」という痛苦の体験を踏まえ、 規約で、「党の意思決定は、民主的な議論をつくし、最終的には多数決で決める」「決定されたことは、みんなでその実行にあたる」 「党内に派閥・分派はつくらない」という民主集中制を組織原則として明記（第３条）しており、「党首公選制」という主張は、規約のこの原則と相いれないものです。 そして党規約には、次のように明記しています。 「党の諸決定を自覚的に実行する。決定に同意できない場合は、自分の意見を保留することができる。その場合も、その決定を実行する。党の決定に反する意見を、勝手に発表することはしない」（第５条第５項） 松竹氏の行動は、党の決定のなかでも綱領とならんで最も重い決定である党規約に反する意見を、党内で主張することもせず、勝手に発表したものであって、松竹氏自身も同意したはずの党規約に違反する行為です。,1/5,0.2753340005874634,uncertain_or_low_confidence
乞食とか障害者にしたらお前ら・・・死ぬよ。 ってか、俺の生まれ変わりなら確実に携挙。 お疲れちゃんRafaelの政治家ちゃんw あなた確実に死ぬけど。 顔は覚えているAmon系。 俺様を敵に回した時点で生きてゆけないから。 やられたらやり返すでいい。 ただ、それだけ。 あんた経営やってもうまくいかないだけで。。 政治家やってもね。。 何やってもまるでダメ。 そうだよね、野瀬くん。 Microsoftの終了それビルゲイツ。 お前にはcpuとグラボは売らない。コンピュータチップ。 わがまますぎだ性癖。 契約の終了。,4/2,0.4920407036940257,uncertain_or_low_confidence
それから、左にいる人々にも 言うであろう、 『呪われた者どもよ、 わたしを離れて、 悪魔とその使たちとのために 用意されている 永遠の火に はいってしまえ。 あなたがたは、わたしが空腹のときに 食べさせず、 かわいていたときに飲ませず、 旅人であったときに宿を貸さず、 裸であったときに着せず、 また病気のときや、獄にいたときに、 わたしを 尋ねてくれなかったからである』。 そのとき、彼らも また答えて言うであろう、 『主よ、いつ、あなたが空腹であり、 かわいておられ、旅人であり、 裸であり、病気であり、 獄におられたのを見て、 わたしたちは お世話を しませんでしたか』。 そのとき、彼は答えて言うであろう、 『あなたがたによく言っておく。 これらの最も小さい者の ひとりに しなかったのは、 すなわち、 わたしにしなかったのである』。 そして彼らは 永遠の刑罰を受け、 正しい者は永遠の生命に入るであろう」。,2/4,0.42457491159439087,uncertain_or_low_confidence
>>439 本日の聖書日課は、 「招かれる者は多いが、選ばれる者は少ない」 ということでした。 選ばれし人となるためにはどうしたらよいのか。 それは心の清い人だと思います。 人は誰しも過ちを犯します。 しかし神の子としての自分に気づいて流された 悔い改めの涙が心の汚れを洗い流し新生する、 そこに人を許す優しい心が芽生えてくることで 心が清くなっていくのではないでしょうか。,1/5,0.4623132149378459,uncertain_or_low_confidence
ガイア様、キリスト教徒でいいの？,1/5,0.4365958869457245,uncertain_or_low_confidence
そもそもイエスは人間じゃないからね 人間に神が理解できる訳ないだろ？ 俺だけその事に気付いている 人間は愚かだから人間の能力で真理を理解しようと非常に無駄な事をしてる,2/4,0.40208298961321515,uncertain_or_low_confidence
NHKの番組表では 一部地域は放送休止 となってるな,2/4,0.4487411181131999,uncertain_or_low_confidence
しかし、東京も寒くなりましたね。 夏から急に真冬になりそうで。 冬の手の霜焼けは、わたしの場合、 毎年12月、1月ですが、 今年は11月初めに、 早くも右手の親指が少しヒビ割れてます。 いつもの年と違う。,1/5,0.4480767051378886,uncertain_or_low_confidence
堕天使には和(輪)がない。彼らは原罪とバベルの呪いで常に不和(不輪)になるように設計されてる。ゆえに和である神国大和と不和なる地上の土人(アダマ)は永遠にわかり合う事はない。堕天使も悪魔もアダマも全て滅ぼせ。わたしは高天原にそう命じて貴様らの子を送らせたはずだが。,1/5,0.4346818725268046,uncertain_or_low_confidence
[支那史] 紀元前19世紀 チベット系の禹が夏を建国 紀元前17世紀 モンゴル系の天乙が殷商を建国 紀元前10世紀 ウラル系の武王が周を建国 紀元前3世紀 チベット系の始皇帝が秦を建国 紀元前3世紀 漢民族の劉邦が漢を建国 紀元前2世紀 匈奴の冒頓単于に敗れ属国になる 1世紀 馬鹿な王莽が新を建国して滅びかける 1世紀 後漢を建国 めんどくさいので以後省略 騎馬民族が王朝を立てる→漢民族の先祖が乗っ取る→騎馬民族が取り返す→漢民族が乗っ取る→騎馬民族が取り返す→漢民族に乗っ取られる←イマココ これが中の国の歴史 漢、新、明以外の統一王朝は全て騎馬民族の王朝,2/4,0.4091736674308777,uncertain_or_low_confidence
>>29 大阪の民泊なんかほぼ中国資本だから 自分達の首絞めてるだけ,3/3,0.41652490695317584,uncertain_or_low_confidence
>>98 どうしたの？ 別に凄いんだ！とか言ってないんだが？ 俺はそんな文面を入力した覚えはないが、お前には俺に見えない文字が見えているようだ それに、さっさと西洋数学に置き換わってんだから、当時の日本人もそっちが優れてるって思ったんだろ 歴史的事実を述べたまでだが、ジャップをバカにしてないと精神の平衡が保てないのか？かわいそうに,3/3,0.427197128534317,uncertain_or_low_confidence
ど,0/6,0.5700371265411377,uncertain_or_low_confidence
らつはちらてはあはほ,2/4,0.6245758632818857,uncertain_or_low_confidence
覚せい剤取引の現場において、脅迫の手段が目に見えない特殊な霊験 古い神社仏閣の怖い霊験になっているときがあります。 それで神社仏閣業界で話題になります。 キリスト教も含みます,1/5,0.41692424813906354,uncertain_or_low_confidence
キリスト自身は単なる哲学者で博愛主義者だったと思う オカルト要素はオマケでしかない 聖書(主に福音書)は安心出来たり迷った時に役に立つ言葉が色々と書いてる本程度に考えれば良い ブッダの教えと同じで「こう生きたら良いよこうすれば良いよこうしたら解決するよ」って言葉が書いてある本 ソ連なんかが宗教をまやかしだとして批判した理由も分からなくはない 人間がコミュニティの中で築いてきたあらゆる宗教の根本は安心を求めるための物である その宗教的感情の発露の仕方はどうあれね,1/5,0.40150760610898334,uncertain_or_low_confidence
>>743 俺は男だけどヒゲマンは最高の萌えキャラだぞ,2/4,0.5819912850856781,uncertain_or_low_confidence
