frame_type,verb,count,frame_zh
cognitive_manipulation,洗脳,23,认知操纵/洗脑
cognitive_manipulation,支配,22,认知操纵/洗脑
cognitive_manipulation,狂信,10,认知操纵/洗脑
cognitive_manipulation,言っ,7,认知操纵/洗脑
cognitive_manipulation,騙し,5,认知操纵/洗脑
cognitive_manipulation,教え,4,认知操纵/洗脑
cognitive_manipulation,信じ,3,认知操纵/洗脑
cognitive_manipulation,信じる,3,认知操纵/洗脑
cognitive_manipulation,入信,3,认知操纵/洗脑
cognitive_manipulation,増え,3,认知操纵/洗脑
cognitive_manipulation,容れ,3,认知操纵/洗脑
cognitive_manipulation,強要,3,认知操纵/洗脑
cognitive_manipulation,自称,3,认知操纵/洗脑
cognitive_manipulation,つか,2,认知操纵/洗脑
cognitive_manipulation,マインドコントロール,2,认知操纵/洗脑
cognitive_manipulation,使い,2,认知操纵/洗脑
cognitive_manipulation,信用,2,认知操纵/洗脑
cognitive_manipulation,入り,2,认知操纵/洗脑
cognitive_manipulation,増やす,2,认知操纵/洗脑
cognitive_manipulation,拝む,2,认知操纵/洗脑
cognitive_manipulation,指導,2,认知操纵/洗脑
cognitive_manipulation,理解,2,认知操纵/洗脑
cognitive_manipulation,禁じ,2,认知操纵/洗脑
cognitive_manipulation,騙さ,2,认知操纵/洗脑
cognitive_manipulation,騙す,2,认知操纵/洗脑
cognitive_manipulation,おだて,1,认知操纵/洗脑
cognitive_manipulation,つい,1,认知操纵/洗脑
cognitive_manipulation,つけ,1,认知操纵/洗脑
cognitive_manipulation,なびい,1,认知操纵/洗脑
cognitive_manipulation,やら,1,认知操纵/洗脑
cognitive_manipulation,やれ,1,认知操纵/洗脑
cognitive_manipulation,ハマっ,1,认知操纵/洗脑
cognitive_manipulation,与え,1,认知操纵/洗脑
cognitive_manipulation,仕切っ,1,认知操纵/洗脑
cognitive_manipulation,伝え,1,认知操纵/洗脑
cognitive_manipulation,使っ,1,认知操纵/洗脑
cognitive_manipulation,使わ,1,认知操纵/洗脑
cognitive_manipulation,入っ,1,认知操纵/洗脑
cognitive_manipulation,出演,1,认知操纵/洗脑
cognitive_manipulation,分かっ,1,认知操纵/洗脑
cognitive_manipulation,勘違い,1,认知操纵/洗脑
cognitive_manipulation,参加,1,认知操纵/洗脑
cognitive_manipulation,取る,1,认知操纵/洗脑
cognitive_manipulation,否定,1,认知操纵/洗脑
cognitive_manipulation,報道,1,认知操纵/洗脑
cognitive_manipulation,変え,1,认知操纵/洗脑
cognitive_manipulation,学べよっ,1,认知操纵/洗脑
cognitive_manipulation,実現,1,认知操纵/洗脑
cognitive_manipulation,巻き,1,认知操纵/洗脑
cognitive_manipulation,広がっ,1,认知操纵/洗脑
cognitive_manipulation,引か,1,认知操纵/洗脑
cognitive_manipulation,引き,1,认知操纵/洗脑
cognitive_manipulation,引っ,1,认知操纵/洗脑
cognitive_manipulation,抜け,1,认知操纵/洗脑
cognitive_manipulation,拡散,1,认知操纵/洗脑
cognitive_manipulation,指示,1,认知操纵/洗脑
cognitive_manipulation,推薦,1,认知操纵/洗脑
cognitive_manipulation,提供,1,认知操纵/洗脑
cognitive_manipulation,揺れ,1,认知操纵/洗脑
cognitive_manipulation,救い,1,认知操纵/洗脑
cognitive_manipulation,救う,1,认知操纵/洗脑
cognitive_manipulation,救わ,1,认知操纵/洗脑
cognitive_manipulation,曲げる,1,认知操纵/洗脑
cognitive_manipulation,服従,1,认知操纵/洗脑
cognitive_manipulation,来い,1,认知操纵/洗脑
cognitive_manipulation,極め,1,认知操纵/洗脑
cognitive_manipulation,欺く,1,认知操纵/洗脑
cognitive_manipulation,気づい,1,认知操纵/洗脑
cognitive_manipulation,流し,1,认知操纵/洗脑
cognitive_manipulation,消し,1,认知操纵/洗脑
cognitive_manipulation,獲得,1,认知操纵/洗脑
cognitive_manipulation,疑わ,1,认知操纵/洗脑
cognitive_manipulation,盲信,1,认知操纵/洗脑
cognitive_manipulation,確保,1,认知操纵/洗脑
cognitive_manipulation,続け,1,认知操纵/洗脑
cognitive_manipulation,繰り,1,认知操纵/洗脑
cognitive_manipulation,考え,1,认知操纵/洗脑
cognitive_manipulation,肯定,1,认知操纵/洗脑
cognitive_manipulation,育た,1,认知操纵/洗脑
cognitive_manipulation,見なし,1,认知操纵/洗脑
cognitive_manipulation,規制,1,认知操纵/洗脑
cognitive_manipulation,言い,1,认知操纵/洗脑
cognitive_manipulation,設け,1,认知操纵/洗脑
cognitive_manipulation,認定,1,认知操纵/洗脑
cognitive_manipulation,課し,1,认知操纵/洗脑
cognitive_manipulation,追い,1,认知操纵/洗脑
cognitive_manipulation,送っ,1,认知操纵/洗脑
cognitive_manipulation,陥っ,1,认知操纵/洗脑
cognitive_manipulation,離脱,1,认知操纵/洗脑
cognitive_manipulation,騙る,1,认知操纵/洗脑
dehumanization,破壊,7,非人化/病理化
dehumanization,殺さ,4,非人化/病理化
dehumanization,殺し,4,非人化/病理化
dehumanization,壊滅,3,非人化/病理化
dehumanization,差別,3,非人化/病理化
dehumanization,潰さ,3,非人化/病理化
dehumanization,苦しめ,3,非人化/病理化
dehumanization,ゴキブリ,2,非人化/病理化
dehumanization,呼ぶ,2,非人化/病理化
dehumanization,死ん,2,非人化/病理化
dehumanization,追い,2,非人化/病理化
dehumanization,なめ,1,非人化/病理化
dehumanization,ぶっ,1,非人化/病理化
dehumanization,やっ,1,非人化/病理化
dehumanization,ナメ,1,非人化/病理化
dehumanization,収監,1,非人化/病理化
dehumanization,向け,1,非人化/病理化
dehumanization,呼ばわり,1,非人化/病理化
dehumanization,壊さ,1,非人化/病理化
dehumanization,弾圧,1,非人化/病理化
dehumanization,敵視,1,非人化/病理化
dehumanization,根絶,1,非人化/病理化
dehumanization,消え,1,非人化/病理化
dehumanization,潰す,1,非人化/病理化
dehumanization,潰せ,1,非人化/病理化
dehumanization,潰せる,1,非人化/病理化
dehumanization,産まれ,1,非人化/病理化
dehumanization,絶滅,1,非人化/病理化
dehumanization,虐殺,1,非人化/病理化
dehumanization,血塗ら,1,非人化/病理化
dehumanization,起訴,1,非人化/病理化
dehumanization,迫害,1,非人化/病理化
dehumanization,退治,1,非人化/病理化
dehumanization,銃殺,1,非人化/病理化
dehumanization,馬鹿,1,非人化/病理化
economic_exploitation,献金,29,经济剥削
economic_exploitation,詐欺,27,经济剥削
economic_exploitation,搾取,9,经济剥削
economic_exploitation,利用,4,经济剥削
economic_exploitation,売っ,2,经济剥削
economic_exploitation,巻き,2,经济剥削
economic_exploitation,送っ,2,经济剥削
economic_exploitation,さらっ,1,经济剥削
economic_exploitation,たかっ,1,经济剥削
economic_exploitation,パクら,1,经济剥削
economic_exploitation,使う,1,经济剥削
economic_exploitation,働い,1,经济剥削
economic_exploitation,働く,1,经济剥削
economic_exploitation,分配,1,经济剥削
economic_exploitation,取っ,1,经济剥削
economic_exploitation,取る,1,经济剥削
economic_exploitation,受け,1,经济剥削
economic_exploitation,吸い,1,经济剥削
economic_exploitation,失い,1,经济剥削
economic_exploitation,奪い,1,经济剥削
economic_exploitation,建て,1,经济剥削
economic_exploitation,手伝う,1,经济剥削
economic_exploitation,捧げ,1,经济剥削
economic_exploitation,支払っ,1,经济剥削
economic_exploitation,支援,1,经济剥削
economic_exploitation,貢が,1,经济剥削
economic_exploitation,貸し,1,经济剥削
economic_exploitation,贈っ,1,经济剥削
