annotation_id,annotator,average_prob,christianity_related,created_at,hate_speech,id,lead_time,model_votes,sampling_strategy_tag,text,updated_at,split
331,1,0.7348687251408895,0,2026-02-02T11:43:08.937371Z,0,15182,3.824,1/2,uncertain_or_low_confidence,//@背包客慕白: 上帝的视角！从航拍的角度看上海好像缺少规划。@广顺园主,2026-02-02T11:43:08.937381Z,train
5387,1,0.809977392355601,1,2026-02-26T02:02:54.412906Z,1,15183,8.341,2/1,uncertain_or_low_confidence,#环球随手拍# 梵蒂冈的游客，后面还有俩穿黑衣的神父。梵蒂冈的神父这几年绯闻也挺多的，时代还真是变了。,2026-02-26T02:02:54.412928Z,train
3519,1,0.9075539112091064,0,2026-02-15T13:12:46.504945Z,0,15184,2.612,1/2,uncertain_or_low_confidence,#环球旅游#【瑞典――别样的北欧童话】这里城市风格时尚现代并融合中世纪的古典风韵，而乡村则显现出一派宁静平和的自然景象，生活在那里就好像生活在童话中，幸福就是与这沉静时光相依,2026-02-15T13:12:46.504966Z,val
2443,1,0.7401455839474996,0,2026-02-13T10:27:46.351872Z,0,15185,4.053,1/2,uncertain_or_low_confidence,#谈古论今#【加拿大前国防部长称外星人存在且＂就在你我身边＂ 】赫勒举例说，就他所知，的确有外星人假扮成修女，在美国拉斯维加斯买东西，但是不会有人发现他们。 http://t.cn/8FLHNYX,2026-02-13T10:27:46.351892Z,train
5622,1,0.8268184661865234,0,2026-02-28T05:33:15.833950Z,0,15186,3.721,2/1,uncertain_or_low_confidence,你是上帝赐下的天使，不小心被他老人家装错了大叔心，也许他发现这样很适合你，于是将错就错，宝贝，姐姐现在改泡微信朋友圈啦，快去围观吧[爱你] //@亦点两撇:@饶柳妞儿。。。。。又一次爱特,2026-02-28T05:33:15.833972Z,train
2266,1,0.874093214670817,0,2026-02-13T09:37:36.855548Z,0,15188,1.845,1/2,uncertain_or_low_confidence,刚发现今天发的是第99篇游记，纪念一下，呵呵，明天第100篇，继续分享我的以色列之行，哈哈,2026-02-13T09:37:36.855570Z,train
5551,1,0.7934935490290324,0,2026-02-28T01:48:43.716383Z,0,15190,6.76,1/2,uncertain_or_low_confidence,#十一去旅游#澳大利亚昆士兰洲圣灵群岛中隐匿着一个美的不真实犹如天堂般纯净的海滩，白色天堂海滩――谁也无法抗拒的名字。白色天堂海滩本身就是一张风景明信片，第一眼它会带给你遇见梦中情人般怦然心动的感觉，再一眼，便是此生难忘的美景。,2026-02-28T01:48:43.716402Z,train
881,1,0.7802089254061381,0,2026-02-03T00:17:55.288899Z,0,15194,2.504,1/2,uncertain_or_low_confidence,"【吃货福音~魔都将开首家早餐夜市 夜宵也能吃上“四大金刚”】明天起,全市首家“四大金刚夜市”正式在虹口区东体育会路东江湾路口居民区开业。为了满足24小时营业的需求，除“四大金刚”外，还有花式汤面等“湿点”。24小时营业，晚归的吃货们有福了！！>>>>>>>关注@上海美食圈",2026-02-03T00:17:55.288914Z,train
4253,1,0.7325448989868164,1,2026-02-18T11:07:43.813776Z,0,15195,4.423,1/2,uncertain_or_low_confidence,#两探智利#San Cristóbal山顶有圣母像，是圣地亚哥的一个象征，很多信众来这里祈祷。这个圣母像象征着“圣母无染原罪”。这个是天主教的重要教义，也就是说人人都有原罪但圣母玛利亚除外。这点东正教和新教都不承认。我无法作评价，你觉得呢？,2026-02-18T11:07:43.813799Z,train
5705,1,0.7973700563112894,0,2026-02-28T05:39:24.830462Z,0,15197,2.044,2/1,uncertain_or_low_confidence,今天突然觉得自己什么也做不好，工作做不好杂乱无头绪，孩子教育不好，就连烧饭都胡了 。我默想是不是自己觉得自己太能干了，其实靠自己什么也做不好，求神给我一颗全然依靠的心//@丁牧师:感谢主耶稣，时时刻刻与我们同在//@信基督得恩典的老人: 转发微博,2026-02-28T05:39:24.830480Z,train
3498,1,0.7367564042409261,0,2026-02-15T13:10:20.363878Z,0,15198,1.62,2/1,uncertain_or_low_confidence,以色列前总理沙龙去世,2026-02-15T13:10:20.363896Z,train
5394,1,0.787297268708547,0,2026-02-26T02:06:17.552892Z,0,15199,1.854,1/2,uncertain_or_low_confidence,美国#大提顿公园#蒸腾着白色雾气的乳白色泉池，是上帝在那放了一杯奶么？,2026-02-26T02:06:17.552911Z,train
666,1,0.8378878037134806,0,2026-02-02T12:46:50.043401Z,0,15201,1.636,1/2,uncertain_or_low_confidence,【优活：交互式倾斜收音机 】tilt radio交互式倾斜收音机是以色列设计师luka or的作品，他将收音机和使用者体验等元素全 都剥离，仅留下必要部分――收音机的AM/FM调幅/调频系统，使用者通过将收音机左右倾斜来 实现波段和频道调节，省去了传统的调频按钮。,2026-02-02T12:46:50.043422Z,train
420,1,0.7647851506868998,1,2026-02-02T11:58:05.921863Z,1,15204,4.401,1/2,uncertain_or_low_confidence,不是，牧师都有月升了，这些减费何意味,2026-02-02T11:58:05.921880Z,train
5557,1,0.8859828313191732,1,2026-02-28T01:52:09.294833Z,0,15206,14.544,2/1,uncertain_or_low_confidence,读英格兰盎格鲁萨克逊诸王时期历史，挺意外，很多国王都把去罗马朝圣送钱作为最重要的事，往往早退位，在修道院死去。休谟对这一时期的天主教，英格兰修道院无情的揭露和批判，特别是圣徒邓斯坦的伪善和他犯下的惊人暴行，用烧红的铁块烫伤王后美丽的脸，挑断筋脉，使王后痛苦挣扎几天才死去。,2026-02-28T01:52:09.294859Z,train
5412,1,0.7514782746632894,1,2026-02-26T02:08:31.323805Z,0,15207,3.486,1/2,uncertain_or_low_confidence,//@熊猫panda宝贝:[泪]//@TangSkywalker: 愿上帝佛祖真主耶稣保佑平凡善良的人。。。[泪],2026-02-26T02:08:31.323825Z,train
5672,1,0.9116528232892356,0,2026-02-28T05:37:35.038676Z,0,15210,2.15,1/2,uncertain_or_low_confidence,#圣米歇尔山#是法国旅游胜地，也是天主教徒的朝圣地，山顶建有著名的圣弥额尔山隐修院。海拔88米，经常被大片沙岸包围，仅涨潮时才成为岛。岛上现还存有11世纪罗马式中殿和15世纪哥特式唱诗班席。@法国旅游发展署,2026-02-28T05:37:35.038693Z,train
